user_id,timestamp,persona,campaign,channel,session_len,clicks,checkout_steps,purchased,churn
1,2025-07-27 02:41:32.690329,Premium,PaidSocial,Mobile,221,8,4.2,1,0
2,2025-07-21 02:41:32.690329,Lapsed,Email,Web,459,4,2.4,0,0
3,2025-07-26 02:41:32.690329,Seasonal,Email,Web,21,7,1.8,0,0
4,2025-07-12 02:41:32.690329,Premium,Organic,PoS,97,7,1.8,1,0
5,2025-08-07 02:41:32.690329,Budget,PaidSocial,PoS,466,3,1.5,1,1
6,2025-07-25 02:41:32.690329,Budget,Organic,Web,119,8,2.3,1,0
7,2025-07-27 02:41:32.690329,Budget,PaidSocial,Mobile,216,4,1.1,0,0
8,2025-08-08 02:41:32.690329,Lapsed,Organic,Web,265,3,3.0,0,0
9,2025-08-01 02:41:32.690329,Seasonal,PaidSocial,Web,98,6,3.1,0,0
10,2025-07-14 02:41:32.690329,Seasonal,Organic,Web,70,6,3.0,0,0
11,2025-07-20 02:41:32.690329,Budget,Organic,Web,166,6,3.3,0,0
12,2025-08-03 02:41:32.690329,Lapsed,Email,Mobile,407,4,3.2,0,0
13,2025-07-21 02:41:32.690329,Seasonal,Organic,Web,222,6,2.6,1,1
14,2025-07-30 02:41:32.690329,Budget,Organic,Mobile,72,7,3.7,1,0
15,2025-07-12 02:41:32.690329,Budget,Email,Mobile,342,4,2.7,1,1
16,2025-07-15 02:41:32.690329,Budget,PaidSocial,Web,75,4,1.6,0,0
17,2025-07-27 02:41:32.690329,Budget,Email,Web,259,6,2.1,1,0
18,2025-08-01 02:41:32.690329,Premium,Organic,Mobile,173,8,3.2,1,0
19,2025-07-16 02:41:32.690329,Premium,Email,Web,137,5,2.7,1,0
20,2025-08-09 02:41:32.690329,Budget,Email,Web,159,3,1.6,0,0
21,2025-07-22 02:41:32.690329,Seasonal,PaidSocial,Web,177,2,2.3,0,0
22,2025-07-28 02:41:32.690329,Budget,PaidSocial,Web,190,1,1.4,1,0
23,2025-07-30 02:41:32.690329,Budget,Organic,Mobile,232,7,3.1,0,0
24,2025-07-26 02:41:32.690329,Premium,Organic,Mobile,378,7,3.7,1,1
25,2025-08-06 02:41:32.690329,Premium,PaidSocial,Web,616,7,0.5,0,0
26,2025-07-26 02:41:32.690329,Seasonal,Email,Web,195,3,2.7,0,0
27,2025-08-02 02:41:32.690329,Budget,PaidSocial,PoS,350,4,1.0,1,0
28,2025-07-29 02:41:32.690329,Premium,PaidSocial,Web,212,5,0.7,0,0
29,2025-07-17 02:41:32.690329,Premium,PaidSocial,Web,152,6,3.6,1,0
30,2025-07-18 02:41:32.690329,Budget,Email,PoS,241,8,3.4,0,0
31,2025-08-05 02:41:32.690329,Seasonal,PaidSocial,PoS,52,10,2.4,1,1
32,2025-08-07 02:41:32.690329,Budget,Email,Web,87,5,1.6,1,0
33,2025-07-18 02:41:32.690329,Budget,Organic,Web,66,5,1.9,1,1
34,2025-07-16 02:41:32.690329,Lapsed,PaidSocial,Web,231,5,1.5,0,0
35,2025-07-26 02:41:32.690329,Lapsed,Organic,Web,29,4,4.4,0,0
36,2025-08-05 02:41:32.690329,Seasonal,PaidSocial,Mobile,60,3,4.3,0,0
37,2025-08-04 02:41:32.690329,Budget,Email,Web,37,7,3.1,1,1
38,2025-07-11 02:41:32.690329,Budget,Organic,Web,198,6,2.3,0,0
39,2025-07-27 02:41:32.690329,Seasonal,PaidSocial,Web,135,2,0.8,1,1
40,2025-07-29 02:41:32.690329,Premium,Email,PoS,160,1,2.0,1,0
41,2025-07-14 02:41:32.690329,Budget,PaidSocial,Web,260,4,2.2,0,0
42,2025-07-24 02:41:32.690329,Premium,Email,Web,183,11,1.5,0,0
43,2025-07-26 02:41:32.690329,Budget,Organic,PoS,147,3,3.7,1,1
44,2025-07-17 02:41:32.690329,Lapsed,PaidSocial,Web,28,2,4.3,0,0
45,2025-07-31 02:41:32.690329,Budget,PaidSocial,Web,260,4,2.0,1,0
46,2025-08-03 02:41:32.690329,Seasonal,Email,Web,25,4,3.3,0,0
47,2025-07-20 02:41:32.690329,Budget,Email,Web,223,9,2.5,0,0
48,2025-07-28 02:41:32.690329,Premium,Organic,Web,1124,3,1.4,0,0
49,2025-07-23 02:41:32.690329,Premium,Organic,Web,292,2,3.5,0,0
50,2025-08-01 02:41:32.690329,Budget,Email,Web,112,6,3.9,1,1
51,2025-08-03 02:41:32.690329,Lapsed,Email,Web,368,5,2.8,0,0
52,2025-07-31 02:41:32.690329,Seasonal,Email,Web,683,6,1.7,0,0
53,2025-07-16 02:41:32.690329,Lapsed,PaidSocial,Web,411,4,3.1,0,0
54,2025-07-24 02:41:32.690329,Lapsed,Organic,Web,503,1,1.9,0,0
55,2025-07-23 02:41:32.690329,Premium,PaidSocial,Web,91,3,3.2,0,0
56,2025-07-13 02:41:32.690329,Lapsed,PaidSocial,PoS,137,5,3.8,1,1
57,2025-08-07 02:41:32.690329,Budget,Organic,Web,323,7,1.5,0,0
58,2025-07-21 02:41:32.690329,Budget,PaidSocial,Web,180,9,2.9,1,0
59,2025-07-29 02:41:32.690329,Budget,Email,Mobile,85,2,1.9,1,0
60,2025-07-19 02:41:32.690329,Budget,PaidSocial,Web,296,5,3.5,1,0
61,2025-07-26 02:41:32.690329,Premium,Organic,Mobile,323,4,2.3,0,0
62,2025-07-12 02:41:32.690329,Budget,Organic,Mobile,152,3,3.9,0,0
63,2025-07-27 02:41:32.690329,Seasonal,PaidSocial,Mobile,73,4,4.9,1,0
64,2025-08-06 02:41:32.690329,Premium,PaidSocial,Mobile,132,7,1.3,1,0
65,2025-07-25 02:41:32.690329,Budget,Organic,Web,141,5,2.6,0,0
66,2025-07-13 02:41:32.690329,Premium,PaidSocial,Mobile,213,3,3.5,1,1
67,2025-07-16 02:41:32.690329,Budget,Email,Web,62,6,2.0,0,0
68,2025-07-13 02:41:32.690329,Seasonal,Organic,Web,169,2,2.9,1,0
69,2025-08-06 02:41:32.690329,Budget,Organic,PoS,124,6,1.8,1,1
70,2025-07-26 02:41:32.690329,Lapsed,Email,Web,298,4,0.5,0,0
71,2025-07-26 02:41:32.690329,Seasonal,PaidSocial,PoS,1490,4,3.0,0,0
